wd,wdLabel,Tags
Q811600,sacred grove,landuse=religious
Q131681,reservoir,landuse=reservoir
Q674950,residential area,landuse=residential
Q12104567,housing estate,landuse=residential
Q5152545,retail area,landuse=retail
Q27095213,shopping district,landuse=retail
Q39659371,retail environment,landuse=retail
Q244326,salt evaporation pond,landuse=salt_pond
Q57743,village green,landuse=village_green
Q22715,vineyard,landuse=vineyard
Q47521258,adult gaming centre,leisure=adult_gaming_centre
Q260676,amusement arcade,leisure=amusement_arcade
Q3126170,bandstand,leisure=bandstand
Q1021711,seaside resort,leisure=beach_resort
Q2244608,bird hide,leisure=bird_hide
Q27106471,bowling alley,leisure=bowling_alley
Q2259176,common land,leisure=common
Q1188223,dance hall,leisure=dance
Q23005232,dance school,leisure=dance
Q47521078,disc golf course,leisure=disc_golf_course
Q38516,dog park,leisure=dog_park
Q17015069,escape room,leisure=escape_game
Q187317,fire pit,leisure=firepit
Q5451647,Fire ring,leisure=firepit
Q7111942,outdoor fireplace,leisure=firepit
Q47521850,fishing spot,leisure=fishing
Q1065656,health club,leisure=fitness_centre
Q692630,outdoor gym,leisure=fitness_station
Q1107656,garden,leisure=garden
Q1048525,golf course,leisure=golf_course
Q1032372,hackerspace,leisure=hackerspace
Q1621657,equestrian facility,leisure=horse_riding
Q1282870,ice rink,leisure=ice_rink
Q47524429,miniature golf course,leisure=miniature_golf
Q179049,nature reserve,leisure=nature_reserve
Q759421,nature reserve,leisure=nature_reserve
Q22698,park,leisure=park
Q2466395,picnic table,leisure=picnic_table
Q8524,football pitch,leisure=pitch
Q741118,tennis court,leisure=pitch
Q891698,Q891698,leisure=pitch
Q2310214,pitch,leisure=pitch
Q11875349,playground,leisure=playground
Q2063507,recreation area,leisure=recreation_ground
Q272888,red-light district,leisure=red_light_district
Q875157,resort,leisure=resort
Q57036,sauna,leisure=sauna
Q206809,schoolyard,leisure=schoolyard
Q521839,shooting range,leisure=shooting_ground
Q361945,slipway,leisure=slipway
Q14092,gymnasium,leisure=sports_hall
Q483110,stadium,leisure=stadium
Q876852,summer camp,leisure=summer_camp
Q47524436,swimming area,leisure=swimming_area
